Tue 11 Nov 2025 15:21:05 IST

SLURM_JOBID:		 8108722
SLURM_JOB_NODELIST:	 ise-3090-01 

configuration parmas running: problem_type=brax es_algorithms=LES
Loading Problems ..:   0%|                                                                                                           | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1111 15:21:29.652579 3957076 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/LearnedES/0]
Generation 010 | Best fitness (Train): 132.42 | Best fitness in generation (Train): 65.00 | Mean fitness (Train): 22.81 | Mean fitness (Test): 88.41
Generation 020 | Best fitness (Train): 419.37 | Best fitness in generation (Train): 419.37 | Mean fitness (Train): 19.65 | Mean fitness (Test): 54.75
Generation 030 | Best fitness (Train): 439.04 | Best fitness in generation (Train): 340.02 | Mean fitness (Train): -1.46 | Mean fitness (Test): 322.94
Generation 040 | Best fitness (Train): 582.27 | Best fitness in generation (Train): 433.12 | Mean fitness (Train): 3.12 | Mean fitness (Test): 604.68
Generation 050 | Best fitness (Train): 662.87 | Best fitness in generation (Train): 440.50 | Mean fitness (Train): 2.37 | Mean fitness (Test): 484.77
Generation 060 | Best fitness (Train): 662.87 | Best fitness in generation (Train): 576.72 | Mean fitness (Train): 11.87 | Mean fitness (Test): 544.81
Generation 070 | Best fitness (Train): 662.87 | Best fitness in generation (Train): 471.24 | Mean fitness (Train): 50.24 | Mean fitness (Test): 526.23
Generation 080 | Best fitness (Train): 691.00 | Best fitness in generation (Train): 691.00 | Mean fitness (Train): 62.35 | Mean fitness (Test): 544.00
Generation 090 | Best fitness (Train): 691.00 | Best fitness in generation (Train): 656.99 | Mean fitness (Train): 125.30 | Mean fitness (Test): 713.85
Generation 100 | Best fitness (Train): 898.53 | Best fitness in generation (Train): 898.53 | Mean fitness (Train): 182.88 | Mean fitness (Test): 886.46
Generation 110 | Best fitness (Train): 1001.48 | Best fitness in generation (Train): 844.69 | Mean fitness (Train): 202.68 | Mean fitness (Test): 789.13
Generation 120 | Best fitness (Train): 1004.32 | Best fitness in generation (Train): 999.35 | Mean fitness (Train): 283.87 | Mean fitness (Test): 1073.12
Generation 130 | Best fitness (Train): 1121.51 | Best fitness in generation (Train): 1035.54 | Mean fitness (Train): 345.79 | Mean fitness (Test): 1201.61
Generation 140 | Best fitness (Train): 1231.92 | Best fitness in generation (Train): 1181.00 | Mean fitness (Train): 397.14 | Mean fitness (Test): 1459.66
Generation 150 | Best fitness (Train): 1283.17 | Best fitness in generation (Train): 1138.46 | Mean fitness (Train): 426.22 | Mean fitness (Test): 1386.06
Generation 160 | Best fitness (Train): 1304.61 | Best fitness in generation (Train): 1232.81 | Mean fitness (Train): 463.07 | Mean fitness (Test): 1434.86
Generation 170 | Best fitness (Train): 1328.51 | Best fitness in generation (Train): 1139.56 | Mean fitness (Train): 483.39 | Mean fitness (Test): 1343.90
Generation 180 | Best fitness (Train): 1357.81 | Best fitness in generation (Train): 1213.00 | Mean fitness (Train): 540.37 | Mean fitness (Test): 1392.38
Generation 190 | Best fitness (Train): 1357.81 | Best fitness in generation (Train): 1308.18 | Mean fitness (Train): 609.72 | Mean fitness (Test): 1570.39
Generation 200 | Best fitness (Train): 1382.37 | Best fitness in generation (Train): 1247.11 | Mean fitness (Train): 622.28 | Mean fitness (Test): 1442.51
Generation 210 | Best fitness (Train): 1456.03 | Best fitness in generation (Train): 1261.72 | Mean fitness (Train): 646.70 | Mean fitness (Test): 1413.59
Generation 220 | Best fitness (Train): 1542.88 | Best fitness in generation (Train): 1446.23 | Mean fitness (Train): 861.70 | Mean fitness (Test): 1639.33
Generation 230 | Best fitness (Train): 1589.39 | Best fitness in generation (Train): 1589.39 | Mean fitness (Train): 887.56 | Mean fitness (Test): 1652.07
Generation 240 | Best fitness (Train): 1589.39 | Best fitness in generation (Train): 1442.50 | Mean fitness (Train): 878.84 | Mean fitness (Test): 1610.19
Generation 250 | Best fitness (Train): 1643.52 | Best fitness in generation (Train): 1547.09 | Mean fitness (Train): 928.11 | Mean fitness (Test): 1811.88
Generation 260 | Best fitness (Train): 1762.11 | Best fitness in generation (Train): 1666.59 | Mean fitness (Train): 992.11 | Mean fitness (Test): 1781.86
Generation 270 | Best fitness (Train): 1762.11 | Best fitness in generation (Train): 1690.52 | Mean fitness (Train): 1055.10 | Mean fitness (Test): 1675.95
Generation 280 | Best fitness (Train): 1774.89 | Best fitness in generation (Train): 1676.05 | Mean fitness (Train): 1114.82 | Mean fitness (Test): 1835.56
Generation 290 | Best fitness (Train): 1774.89 | Best fitness in generation (Train): 1686.81 | Mean fitness (Train): 1140.29 | Mean fitness (Test): 1776.81
Generation 300 | Best fitness (Train): 1782.00 | Best fitness in generation (Train): 1782.00 | Mean fitness (Train): 1296.37 | Mean fitness (Test): 1835.88
Generation 310 | Best fitness (Train): 1859.62 | Best fitness in generation (Train): 1859.62 | Mean fitness (Train): 1316.37 | Mean fitness (Test): 1825.89
Generation 320 | Best fitness (Train): 1874.25 | Best fitness in generation (Train): 1832.94 | Mean fitness (Train): 1383.48 | Mean fitness (Test): 2002.13
Generation 330 | Best fitness (Train): 1935.47 | Best fitness in generation (Train): 1865.05 | Mean fitness (Train): 1411.79 | Mean fitness (Test): 2043.87
Generation 340 | Best fitness (Train): 2001.57 | Best fitness in generation (Train): 1978.83 | Mean fitness (Train): 1417.78 | Mean fitness (Test): 2067.31
Generation 350 | Best fitness (Train): 2001.57 | Best fitness in generation (Train): 1994.62 | Mean fitness (Train): 1491.57 | Mean fitness (Test): 2059.22
Generation 360 | Best fitness (Train): 2033.22 | Best fitness in generation (Train): 1983.73 | Mean fitness (Train): 1513.64 | Mean fitness (Test): 1880.31
Generation 370 | Best fitness (Train): 2086.51 | Best fitness in generation (Train): 2086.51 | Mean fitness (Train): 1608.13 | Mean fitness (Test): 2120.57
Generation 380 | Best fitness (Train): 2114.18 | Best fitness in generation (Train): 2027.15 | Mean fitness (Train): 1676.84 | Mean fitness (Test): 2031.53
Generation 390 | Best fitness (Train): 2159.22 | Best fitness in generation (Train): 2083.99 | Mean fitness (Train): 1596.64 | Mean fitness (Test): 2059.27
Generation 400 | Best fitness (Train): 2159.22 | Best fitness in generation (Train): 2154.29 | Mean fitness (Train): 1738.33 | Mean fitness (Test): 2153.84
Generation 410 | Best fitness (Train): 2200.40 | Best fitness in generation (Train): 2161.01 | Mean fitness (Train): 1724.77 | Mean fitness (Test): 2259.63
Generation 420 | Best fitness (Train): 2230.73 | Best fitness in generation (Train): 2114.06 | Mean fitness (Train): 1700.21 | Mean fitness (Test): 2133.47
Generation 430 | Best fitness (Train): 2260.04 | Best fitness in generation (Train): 2186.15 | Mean fitness (Train): 1799.71 | Mean fitness (Test): 2036.13
Generation 440 | Best fitness (Train): 2276.53 | Best fitness in generation (Train): 2276.53 | Mean fitness (Train): 1881.65 | Mean fitness (Test): 2219.16
Generation 450 | Best fitness (Train): 2287.35 | Best fitness in generation (Train): 2253.89 | Mean fitness (Train): 1900.87 | Mean fitness (Test): 2325.18
Generation 460 | Best fitness (Train): 2304.38 | Best fitness in generation (Train): 2294.73 | Mean fitness (Train): 1948.22 | Mean fitness (Test): 2358.83
Generation 470 | Best fitness (Train): 2361.99 | Best fitness in generation (Train): 2297.10 | Mean fitness (Train): 1952.05 | Mean fitness (Test): 2394.81
Generation 480 | Best fitness (Train): 2361.99 | Best fitness in generation (Train): 2300.11 | Mean fitness (Train): 2034.76 | Mean fitness (Test): 2367.10
Generation 490 | Best fitness (Train): 2395.93 | Best fitness in generation (Train): 2329.95 | Mean fitness (Train): 2014.52 | Mean fitness (Test): 2427.20
Generation 500 | Best fitness (Train): 2405.78 | Best fitness in generation (Train): 2353.89 | Mean fitness (Train): 1893.88 | Mean fitness (Test): 2275.39
Generation 510 | Best fitness (Train): 2428.49 | Best fitness in generation (Train): 2405.71 | Mean fitness (Train): 2077.86 | Mean fitness (Test): 2506.03
Generation 520 | Best fitness (Train): 2461.82 | Best fitness in generation (Train): 2414.09 | Mean fitness (Train): 2090.70 | Mean fitness (Test): 2483.09
Generation 530 | Best fitness (Train): 2479.76 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 540 | Best fitness (Train): 2479.76 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 550 | Best fitness (Train): 2479.76 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 560 | Best fitness (Train): 2479.76 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 570 | Best fitness (Train): 2479.76 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 580 | Best fitness (Train): 2479.76 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
