Tue 11 Nov 2025 15:20:36 IST

SLURM_JOBID:		 8108718
SLURM_JOB_NODELIST:	 ise-3090-02 

configuration parmas running: problem_type=brax es_algorithms=Open_ES
Loading Problems ..:   0%|                                                                                                           | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1111 15:20:57.436381 3294902 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/Open_ES/0]
Generation 010 | Best fitness (Train): 174.16 | Best fitness in generation (Train): 157.62 | Mean fitness (Train): 73.44 | Mean fitness (Test): 167.73
Generation 020 | Best fitness (Train): 465.56 | Best fitness in generation (Train): 427.22 | Mean fitness (Train): 161.75 | Mean fitness (Test): 578.29
Generation 030 | Best fitness (Train): 936.75 | Best fitness in generation (Train): 936.75 | Mean fitness (Train): 399.47 | Mean fitness (Test): 1060.16
Generation 040 | Best fitness (Train): 1237.71 | Best fitness in generation (Train): 1237.71 | Mean fitness (Train): 738.89 | Mean fitness (Test): 728.84
Generation 050 | Best fitness (Train): 1511.06 | Best fitness in generation (Train): 1412.95 | Mean fitness (Train): 988.32 | Mean fitness (Test): 1113.73
Generation 060 | Best fitness (Train): 1665.58 | Best fitness in generation (Train): 1627.64 | Mean fitness (Train): 1138.20 | Mean fitness (Test): 1293.58
Generation 070 | Best fitness (Train): 1818.48 | Best fitness in generation (Train): 1735.16 | Mean fitness (Train): 1304.69 | Mean fitness (Test): 1536.37
Generation 080 | Best fitness (Train): 1964.54 | Best fitness in generation (Train): 1964.54 | Mean fitness (Train): 1446.99 | Mean fitness (Test): 1688.99
Generation 090 | Best fitness (Train): 2182.92 | Best fitness in generation (Train): 2165.28 | Mean fitness (Train): 1585.13 | Mean fitness (Test): 2245.46
Generation 100 | Best fitness (Train): 2405.37 | Best fitness in generation (Train): 2274.70 | Mean fitness (Train): 1803.92 | Mean fitness (Test): 2438.73
Generation 110 | Best fitness (Train): 2505.35 | Best fitness in generation (Train): 2460.18 | Mean fitness (Train): 2020.20 | Mean fitness (Test): 2551.34
Generation 120 | Best fitness (Train): 2706.89 | Best fitness in generation (Train): 2556.44 | Mean fitness (Train): 2105.27 | Mean fitness (Test): 2717.79
Generation 130 | Best fitness (Train): 2707.28 | Best fitness in generation (Train): 2641.14 | Mean fitness (Train): 2211.77 | Mean fitness (Test): 2773.59
Generation 140 | Best fitness (Train): 2772.85 | Best fitness in generation (Train): 2730.35 | Mean fitness (Train): 2302.10 | Mean fitness (Test): 2844.41
Generation 150 | Best fitness (Train): 2859.19 | Best fitness in generation (Train): 2816.40 | Mean fitness (Train): 2419.50 | Mean fitness (Test): 2935.24
Generation 160 | Best fitness (Train): 2950.44 | Best fitness in generation (Train): 2874.18 | Mean fitness (Train): 2526.14 | Mean fitness (Test): 2981.65
Generation 170 | Best fitness (Train): 3054.37 | Best fitness in generation (Train): 3054.37 | Mean fitness (Train): 2553.74 | Mean fitness (Test): 3092.53
Generation 180 | Best fitness (Train): 3173.25 | Best fitness in generation (Train): 3124.83 | Mean fitness (Train): 2682.70 | Mean fitness (Test): 3219.40
Generation 190 | Best fitness (Train): 3232.20 | Best fitness in generation (Train): 3216.17 | Mean fitness (Train): 2734.11 | Mean fitness (Test): 3323.44
Generation 200 | Best fitness (Train): 3347.86 | Best fitness in generation (Train): 3295.14 | Mean fitness (Train): 2789.93 | Mean fitness (Test): 3341.05
Generation 210 | Best fitness (Train): 3405.41 | Best fitness in generation (Train): 3359.84 | Mean fitness (Train): 2840.95 | Mean fitness (Test): 3406.22
Generation 220 | Best fitness (Train): 3432.15 | Best fitness in generation (Train): 3432.15 | Mean fitness (Train): 2999.56 | Mean fitness (Test): 3445.49
Generation 230 | Best fitness (Train): 3535.82 | Best fitness in generation (Train): 3535.82 | Mean fitness (Train): 3077.08 | Mean fitness (Test): 3570.00
Generation 240 | Best fitness (Train): 3704.34 | Best fitness in generation (Train): 3585.75 | Mean fitness (Train): 3049.60 | Mean fitness (Test): 3533.43
Generation 250 | Best fitness (Train): 3831.79 | Best fitness in generation (Train): 3756.44 | Mean fitness (Train): 3184.61 | Mean fitness (Test): 3821.97
Generation 260 | Best fitness (Train): 3988.92 | Best fitness in generation (Train): 3904.47 | Mean fitness (Train): 3322.46 | Mean fitness (Test): 4038.42
Generation 270 | Best fitness (Train): 4116.21 | Best fitness in generation (Train): 4021.31 | Mean fitness (Train): 3476.25 | Mean fitness (Test): 4153.49
Generation 280 | Best fitness (Train): 4192.19 | Best fitness in generation (Train): 4192.19 | Mean fitness (Train): 3490.65 | Mean fitness (Test): 4222.84
Generation 290 | Best fitness (Train): 4380.01 | Best fitness in generation (Train): 4265.06 | Mean fitness (Train): 3649.01 | Mean fitness (Test): 4272.45
Generation 300 | Best fitness (Train): 4487.63 | Best fitness in generation (Train): 4487.63 | Mean fitness (Train): 3753.73 | Mean fitness (Test): 4050.25
Generation 310 | Best fitness (Train): 4569.96 | Best fitness in generation (Train): 4569.96 | Mean fitness (Train): 3899.54 | Mean fitness (Test): 4395.57
Generation 320 | Best fitness (Train): 4627.40 | Best fitness in generation (Train): 4627.40 | Mean fitness (Train): 3972.00 | Mean fitness (Test): 4345.38
Generation 330 | Best fitness (Train): 4675.14 | Best fitness in generation (Train): 4675.14 | Mean fitness (Train): 4046.10 | Mean fitness (Test): 4698.05
Generation 340 | Best fitness (Train): 4737.36 | Best fitness in generation (Train): 4658.67 | Mean fitness (Train): 4170.21 | Mean fitness (Test): 4722.81
Generation 350 | Best fitness (Train): 4762.67 | Best fitness in generation (Train): 4738.62 | Mean fitness (Train): 4186.11 | Mean fitness (Test): 4823.45
Generation 360 | Best fitness (Train): 4870.37 | Best fitness in generation (Train): 4746.71 | Mean fitness (Train): 4198.12 | Mean fitness (Test): 4752.43
Generation 370 | Best fitness (Train): 4914.87 | Best fitness in generation (Train): 4765.05 | Mean fitness (Train): 4269.16 | Mean fitness (Test): 4908.22
Generation 380 | Best fitness (Train): 4914.87 | Best fitness in generation (Train): 4819.18 | Mean fitness (Train): 4314.34 | Mean fitness (Test): 4879.08
Generation 390 | Best fitness (Train): 4914.87 | Best fitness in generation (Train): 4825.07 | Mean fitness (Train): 4300.75 | Mean fitness (Test): 4896.93
Generation 400 | Best fitness (Train): 4914.87 | Best fitness in generation (Train): 4860.93 | Mean fitness (Train): 4393.18 | Mean fitness (Test): 4918.56
Generation 410 | Best fitness (Train): 4914.87 | Best fitness in generation (Train): 4839.04 | Mean fitness (Train): 4388.21 | Mean fitness (Test): 4322.28
Generation 420 | Best fitness (Train): 4979.11 | Best fitness in generation (Train): 4970.25 | Mean fitness (Train): 4389.52 | Mean fitness (Test): 4549.95
Generation 430 | Best fitness (Train): 4981.60 | Best fitness in generation (Train): 4981.60 | Mean fitness (Train): 4454.97 | Mean fitness (Test): 4950.24
Generation 440 | Best fitness (Train): 4981.60 | Best fitness in generation (Train): 4935.59 | Mean fitness (Train): 4464.28 | Mean fitness (Test): 4734.58
Generation 450 | Best fitness (Train): 4981.60 | Best fitness in generation (Train): 4954.12 | Mean fitness (Train): 4527.12 | Mean fitness (Test): 5007.43
Generation 460 | Best fitness (Train): 5043.37 | Best fitness in generation (Train): 4977.39 | Mean fitness (Train): 4567.41 | Mean fitness (Test): 5050.13
Generation 470 | Best fitness (Train): 5079.44 | Best fitness in generation (Train): 4950.89 | Mean fitness (Train): 4509.58 | Mean fitness (Test): 5003.72
Generation 480 | Best fitness (Train): 5079.44 | Best fitness in generation (Train): 5014.82 | Mean fitness (Train): 4573.69 | Mean fitness (Test): 5060.15
Generation 490 | Best fitness (Train): 5094.62 | Best fitness in generation (Train): 5017.42 | Mean fitness (Train): 4595.39 | Mean fitness (Test): 5073.30
Generation 500 | Best fitness (Train): 5094.62 | Best fitness in generation (Train): 5074.65 | Mean fitness (Train): 4617.91 | Mean fitness (Test): 5064.48
Generation 510 | Best fitness (Train): 5128.05 | Best fitness in generation (Train): 5062.03 | Mean fitness (Train): 4625.23 | Mean fitness (Test): 5103.67
